IDAE -  ,,,,,,,,
Modelo,Clasificación Energética,Motorización,Categoría,MTMA (Kg),Consumo Eléctrico (kWh/100 km),Potencia eléctrica (kW),Autonomía eléctrica (km),Capacidad de la batería (kWh)
Abarth Abarth 500 BEV Nuevo Abarth 500e Scorpionissima 42kwh 113kw (154cv),,Eléctricos puros,M1,1410,18.1,113,253,42
Abarth Abarth 500 BEV Nuevo Abarth Cabrio 500e Scorpionissima 42kwh 113kw (154cv),,Eléctricos puros,M1,1435,18.8,113,242,42
AIWAYS U5 MAS861-WVTA/2WB/FL4,,Eléctricos puros,M1,2135,15.8,55,400,63
AIWAYS U6 PRIME,,Eléctricos puros,M1,2290,16,160,405,63
Audi Audi e-tron 55 quattro 300 kW Advanced/sport/Black line MY 20,,Eléctricos puros,M1,3130,245.8,300,381,
Audi Audi e-tron 55 quattro 300 kW MY 20,,Eléctricos puros,M1,3130,228.8,300,411,95
Audi Audi e-tron 55 quattro Advanced 300 kW MY 20,,Eléctricos puros,M1,3130,250.2,300,374,95
Audi Audi e-tron 55 quattro S line 300 kW MY 20,,Eléctricos puros,M1,3150,258.9,300,371,95
Audi Canarias Q4 e-tron 35 S line 125 kW (170 CV),,Eléctricos puros,M1,2475,17.9,125,325,55
Audi Canarias Q4 e-tron 35 Sport 125 kW (170 CV),,Eléctricos puros,M1,2475,17.4,125,335,55
Audi Canarias Q4 e-tron 40 S line 150 kW (204 CV),,Eléctricos puros,M1,2640,18.2,150,495,82
Audi Canarias Q4 e-tron 40 Sport 150 kW (204 CV),,Eléctricos puros,M1,2640,17.6,150,511,82
Audi Canarias Q4 e-tron 50 S line 220 kW (299 CV) quattro,,Eléctricos puros,M1,2720,18.7,220,469,82
Audi Canarias Q4 Sportback e-tron 35 S line 125 kW (170 CV),,Eléctricos puros,M1,2475,17.4,125,334,55
Audi Canarias Q4 Sportback e-tron 35 Sport 125 kW (170 CV),,Eléctricos puros,M1,2475,17.1,125,340,55
Audi Canarias Q4 Sportback e-tron 40 S line 150 kW (204 CV),,Eléctricos puros,M1,2640,17.5,150,512,82
Audi Canarias Q4 Sportback e-tron 40 Sport 150 kW (204 CV),,Eléctricos puros,M1,2640,17.2,150,521,82
Audi Canarias Q4 Sportback e-tron 50 S line 220 kW (299 CV) quattro,,Eléctricos puros,M1,2720,18.2,220,481,82
Audi e-tron 50 quattro 230 kW Advanced MY21,,Eléctricos puros,M1,3040,224,230,314,71
Audi e-tron 50 quattro 230 kW MY21,,Eléctricos puros,M1,3040,224,230,339,71
Audi e-tron 50 quattro 230 kW S line/Black line MY21,,Eléctricos puros,M1,3040,224,230,313,71
Audi e-tron 55 quattro 300 kW Advanced MY21,,Eléctricos puros,M1,3170,244,300,404,95
Audi e-tron 55 quattro 300 kW Advanced MY22,,Eléctricos puros,M1,3140,24.2,300,403,85
Audi e-tron 55 quattro 300 kW MY21,,Eléctricos puros,M1,3170,228,300,437,95
Audi e-tron 55 quattro 300 kW S line MY22,,Eléctricos puros,M1,3140,24.6,300,394,85
Audi e-tron 55 quattro 300 kW S line/Black line MY21,,Eléctricos puros,M1,3170,244,300,403,95
Audi e-tron e-tron S quattro 370 kW S MY22,,Eléctricos puros,M1,3280,27.2,370,360,85
Audi e-tron GT 60 quattro 350 kW (476 CV) e-tron GT MY23,,Eléctricos puros,M1,2840,20.1,350,492,86
Audi e-tron GT 60 quattro 350 kW (476 CV) e-tron GT MY24,,Eléctricos puros,M1,2840,20.1,350,492,86
Audi e-tron GT 60 quattro 350 kW e-tron GT MY22,,Eléctricos puros,M1,2840,20.2,350,482,85
Audi e-tron sportback 50 quattro 230 kW Advanced MY21,,Eléctricos puros,M1,3040,216,230,321,71
